doi,language,method,method2,measurement,validation
10.1080/1369118X.2016.1146319,en,man,Manual,attri,NA
10.1080/1369118X.2016.1187192,en,man,Manual,attri,NA
10.1080/1369118X.2016.1198411,hu,man,Manual,forma,NA
10.1080/1369118X.2016.1198411,hu,man,Manual,types,NA
10.1080/1369118X.2016.1198411,hu,man,Manual,senti,NA
10.1080/1369118X.2016.1198411,hu,man,Manual,quali,NA
10.1080/1369118X.2016.1203971,pt,man,Manual,thing,NA
10.1080/1369118X.2016.1203971,pt,man,Manual,attri,NA
10.1080/1369118X.2016.1203974,cn,man,Manual,quali,NA
10.1080/1369118X.2016.1203974,cn,man,Manual,other,NA
10.1080/1369118X.2016.1252413,en,man,Manual,pragm,NA
10.1080/1369118X.2016.1254269,de,man,Manual,forma,NA
10.1080/1369118X.2016.1254269,de,man,Manual,pragm,NA
10.1080/1369118X.2016.1257040,en,man,Manual,thing,NA
10.1080/1369118X.2016.1257040,en,man,Manual,const,NA
10.1080/1369118X.2016.1257040,en,man,Manual,attri,NA
10.1080/1369118X.2016.1257040,en,man,Manual,props,NA
10.1080/1369118X.2016.1257040,en,man,Manual,pragm,NA
10.1080/1369118X.2017.1284880,es,man,Manual,forma,NA
10.1080/1369118X.2017.1284880,es,man,Manual,const,NA
10.1080/1369118X.2017.1284880,es,man,Manual,theme,NA
10.1080/1369118X.2017.1284880,es,man,Manual,pragm,NA
10.1080/1369118X.2017.1285951,en,man,Manual,senti,NA
10.1080/1369118X.2017.1285951,en,man,Manual,frame,NA
10.1080/1369118X.2017.1301518,en,man,Manual,theme,NA
10.1080/1369118X.2017.1301518,en,man,Manual,senti,NA
10.1080/1369118X.2017.1301522,en,man,Manual,const,NA
10.1080/1369118X.2017.1301522,en,man,Manual,pragm,NA
10.1080/1369118X.2017.1314532,en,man,Manual,thing,NA
10.1080/1369118X.2017.1314532,en,man,Manual,const,NA
10.1080/1369118X.2017.1314532,en,man,Manual,theme,NA
10.1080/1369118X.2017.1314532,en,man,Manual,quali,NA
10.1080/1369118X.2017.1324504,he,man,Manual,const,NA
10.1080/1369118X.2017.1340499,en,man,Manual,thing,NA
10.1080/1369118X.2017.1340499,en,man,Manual,const,NA
10.1080/1369118X.2017.1340499,en,man,Manual,theme,NA
10.1080/1369118X.2017.1340499,en,man,Manual,attri,NA
10.1080/1369118X.2017.1340499,en,man,Manual,pragm,NA
10.1080/1369118X.2017.1366539,en,man,Manual,pragm,NA
10.1080/1369118X.2017.1402943,en,man,Manual,const,NA
10.1080/1369118X.2017.1402943,en,man,Manual,pragm,NA
10.1080/1369118X.2018.1439985,he,man,Manual,const,NA
10.1080/1369118X.2018.1439985,he,man,Manual,theme,NA
10.1080/1369118X.2018.1439985,he,man,Manual,quali,NA
