_id,doi,language,method,method2,measurement,validation
1044,10.1080/1461670X.2015.1074865,en,man,Manual,props,NA
1045,10.1080/1461670X.2015.1104260,en,man,Manual,forma,NA
1046,10.1080/1461670X.2015.1104260,en,man,Manual,thing,NA
1047,10.1080/1461670X.2015.1104260,en,man,Manual,quali,NA
1048,10.1080/1461670X.2015.1111162,nl,man,Manual,frame,NA
1049,10.1080/1461670X.2015.1112243,de,man,Manual,attri,NA
1050,10.1080/1461670X.2015.1133252,en,man,Manual,senti,NA
1051,10.1080/1461670X.2016.1150193,en,man,Manual,quali,NA
1052,10.1080/1461670X.2016.1154797,se,man,Manual,theme,NA
1053,10.1080/1461670X.2016.1171163,en,man,Manual,props,NA
1054,10.1080/1461670X.2016.1178594,en,man,Manual,props,NA
1055,10.1080/1461670X.2016.1181528,en,man,Manual,thing,NA
1056,10.1080/1461670X.2016.1181528,en,man,Manual,theme,NA
1057,10.1080/1461670X.2016.1181528,en,man,Manual,senti,NA
1058,10.1080/1461670X.2016.1181528,en,man,Manual,attri,NA
1059,10.1080/1461670X.2016.1181528,en,man,Manual,frame,NA
1060,10.1080/1461670X.2016.1187576,nl,man,Manual,const,NA
1061,10.1080/1461670X.2016.1187576,nl,man,Manual,theme,NA
1062,10.1080/1461670X.2016.1187576,nl,man,Manual,attri,NA
1063,10.1080/1461670X.2016.1215254,en,man,Manual,thing,NA
1064,10.1080/1461670X.2016.1215254,en,man,Manual,types,NA
1065,10.1080/1461670X.2016.1215254,en,man,Manual,theme,NA
1066,10.1080/1461670X.2016.1215254,en,man,Manual,quali,NA
1067,10.1080/1461670X.2016.1234356,de,man,Manual,thing,NA
1068,10.1080/1461670X.2016.1234356,de,man,Manual,senti,NA
1069,10.1080/1461670X.2016.1234356,de,man,Manual,relas,NA
1070,10.1080/1461670X.2016.1245111,de,man,Manual,const,NA
1071,10.1080/1461670X.2016.1246377,nl,man,Manual,frame,NA
1072,10.1080/1461670X.2016.1266281,de,man,Manual,thing,NA
1073,10.1080/1461670X.2016.1266281,de,man,Manual,const,NA
1074,10.1080/1461670X.2016.1266281,de,man,Manual,quali,NA
1075,10.1080/1461670X.2017.1292860,en,man,Manual,quali,NA
1076,10.1080/1461670X.2017.1292860,en,man,Manual,frame,NA
1077,10.1080/1461670X.2017.1297686,no,man,Manual,theme,NA
1078,10.1080/1461670X.2017.1330665,se,man,Manual,props,NA
1079,10.1080/1461670X.2017.1353432,de,man,Manual,thing,NA
1080,10.1080/1461670X.2017.1353432,de,man,Manual,attri,NA
1081,10.1080/1461670X.2017.1360150,en,man,Manual,thing,NA
1082,10.1080/1461670X.2017.1360150,en,man,Manual,quali,NA
1083,10.1080/1461670X.2017.1360150,en,man,Manual,pragm,NA
1084,10.1080/1461670X.2017.1364140,en,man,Manual,const,NA
1085,10.1080/1461670X.2017.1364140,en,man,Manual,pragm,NA
1086,10.1080/1461670X.2018.1464403,dk,man,Manual,types,NA
1087,10.1080/1461670X.2018.1467783,nl,man,Manual,forma,NA
